1	57
2	56
3	55
4	54
5	53
6	68
7	67
8	66
9	65
10	64
11	63
12	62
13	61
14	60
15	59
16	58
17	41
18	40
19	39
20	38
21	37
22	52
23	51
24	50
25	49
26	48
27	47
28	46
29	45
30	44
31	43
32	42
33	25
34	24
35	23
36	22
37	21
38	36
39	35
40	34
41	33
42	32
43	31
44	30
45	29
46	28
47	27
48	26
49	17
50	18
51	19
52	16
53	6
54	7
55	8
56	20
57	15
58	5
59	0
60	1
61	9
62	14
63	4
64	3
65	2
66	10
67	13
68	12
69	11
70	73
71	72
72	71
73	70
74	69
75	84
76	83
77	82
78	81
79	80
80	79
81	78
82	77
83	76
84	75
85	74
86	102
87	103
88	104
89	101
90	91
91	92
92	93
93	105
94	100
95	90
96	85
97	86
98	94
99	99
100	89
101	88
102	87
103	95
104	98
105	97
106	96
