# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
1 62 10 3444.09495346 1523.30264607 -1775.00000000 0.96592583 0.25881905 0.00000000 0 1
1 63 10 3041.26626588 2221.02239971 -1775.00000000 0.70710678 0.70710678 0.00000000 0 1
1 64 10 2221.02239971 3041.26626588 -1775.00000000 0.70710678 0.70710678 0.00000000 0 1
1 65 10 1523.30264607 3444.09495346 -1775.00000000 0.25881905 0.96592583 0.00000000 0 1
1 66 10 402.82868758 3744.32504578 -1775.00000000 0.25881905 0.96592583 0.00000000 0 1
1 67 10 -402.82868758 3744.32504578 -1775.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 68 10 -1523.30264607 3444.09495346 -1775.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 69 10 -2221.02239971 3041.26626588 -1775.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 70 10 -3041.26626588 2221.02239971 -1775.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 71 10 -3444.09495346 1523.30264607 -1775.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 72 10 -3744.32504578 402.82868758 -1775.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 73 10 -3744.32504578 -402.82868758 -1775.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 74 10 -3444.09495346 -1523.30264607 -1775.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 75 10 -3041.26626588 -2221.02239971 -1775.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 76 10 -2221.02239971 -3041.26626588 -1775.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 77 10 -1523.30264607 -3444.09495346 -1775.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 78 10 -402.82868758 -3744.32504578 -1775.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 79 10 402.82868758 -3744.32504578 -1775.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 80 10 1523.30264607 -3444.09495346 -1775.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 81 10 2221.02239971 -3041.26626588 -1775.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 82 10 3041.26626588 -2221.02239971 -1775.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 83 10 3444.09495346 -1523.30264607 -1775.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 84 10 3744.32504578 -402.82868758 -1775.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 85 10 3744.32504578 402.82868758 -1065.00000000 0.96592583 0.25881905 0.00000000 0 1
1 86 10 3444.09495346 1523.30264607 -1065.00000000 0.96592583 0.25881905 0.00000000 0 1
1 87 10 3041.26626588 2221.02239971 -1065.00000000 0.70710678 0.70710678 0.00000000 0 1
1 88 10 2221.02239971 3041.26626588 -1065.00000000 0.70710678 0.70710678 0.00000000 0 1
1 89 10 1523.30264607 3444.09495346 -1065.00000000 0.25881905 0.96592583 0.00000000 0 1
1 90 10 402.82868758 3744.32504578 -1065.00000000 0.25881905 0.96592583 0.00000000 0 1
1 91 10 -402.82868758 3744.32504578 -1065.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 92 10 -1523.30264607 3444.09495346 -1065.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 93 10 -2221.02239971 3041.26626588 -1065.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 94 10 -3041.26626588 2221.02239971 -1065.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 95 10 -3444.09495346 1523.30264607 -1065.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 96 10 -3744.32504578 402.82868758 -1065.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 97 10 -3744.32504578 -402.82868758 -1065.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 98 10 -3444.09495346 -1523.30264607 -1065.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 99 10 -3041.26626588 -2221.02239971 -1065.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 100 10 -2221.02239971 -3041.26626588 -1065.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 101 10 -1523.30264607 -3444.09495346 -1065.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 102 10 -402.82868758 -3744.32504578 -1065.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 103 10 402.82868758 -3744.32504578 -1065.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 104 10 1523.30264607 -3444.09495346 -1065.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 105 10 2221.02239971 -3041.26626588 -1065.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 106 10 3041.26626588 -2221.02239971 -1065.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 107 10 3444.09495346 -1523.30264607 -1065.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 108 10 3744.32504578 -402.82868758 -1065.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 109 10 3594.20999962 963.06566683 -710.00000000 0.96592583 0.25881905 0.00000000 0 1
1 110 10 2631.14433280 2631.14433280 -710.00000000 0.70710678 0.70710678 0.00000000 0 1
1 111 10 963.06566683 3594.20999962 -710.00000000 0.25881905 0.96592583 0.00000000 0 1
1 112 10 -963.06566683 3594.20999962 -710.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 113 10 -2631.14433280 2631.14433280 -710.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 114 10 -3594.20999962 963.06566683 -710.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 115 10 -3594.20999962 -963.06566683 -710.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 116 10 -2631.14433280 -2631.14433280 -710.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 117 10 -963.06566683 -3594.20999962 -710.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 118 10 963.06566683 -3594.20999962 -710.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 119 10 2631.14433280 -2631.14433280 -710.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 120 10 3594.20999962 -963.06566683 -710.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 121 10 3594.20999962 963.06566683 0.00000000 0.96592583 0.25881905 0.00000000 0 1
1 122 10 2631.14433280 2631.14433280 0.00000000 0.70710678 0.70710678 0.00000000 0 1
1 123 10 963.06566683 3594.20999962 0.00000000 0.25881905 0.96592583 0.00000000 0 1
1 124 10 -963.06566683 3594.20999962 0.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 125 10 -2631.14433280 2631.14433280 0.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 126 10 -3594.20999962 963.06566683 0.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 127 10 -3594.20999962 -963.06566683 0.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 128 10 -2631.14433280 -2631.14433280 0.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 129 10 -963.06566683 -3594.20999962 0.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 130 10 963.06566683 -3594.20999962 0.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 131 10 2631.14433280 -2631.14433280 0.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 132 10 3594.20999962 -963.06566683 0.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 133 10 3744.32504578 402.82868758 355.00000000 0.96592583 0.25881905 0.00000000 0 1
1 134 10 3444.09495346 1523.30264607 355.00000000 0.96592583 0.25881905 0.00000000 0 1
1 135 10 3041.26626588 2221.02239971 355.00000000 0.70710678 0.70710678 0.00000000 0 1
1 136 10 2221.02239971 3041.26626588 355.00000000 0.70710678 0.70710678 0.00000000 0 1
1 137 10 1523.30264607 3444.09495346 355.00000000 0.25881905 0.96592583 0.00000000 0 1
1 138 10 402.82868758 3744.32504578 355.00000000 0.25881905 0.96592583 0.00000000 0 1
1 139 10 -402.82868758 3744.32504578 355.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 140 10 -1523.30264607 3444.09495346 355.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 141 10 -2221.02239971 3041.26626588 355.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 142 10 -3041.26626588 2221.02239971 355.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 143 10 -3444.09495346 1523.30264607 355.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 144 10 -3744.32504578 402.82868758 355.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 145 10 -3744.32504578 -402.82868758 355.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 146 10 -3444.09495346 -1523.30264607 355.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 147 10 -3041.26626588 -2221.02239971 355.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 148 10 -2221.02239971 -3041.26626588 355.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 149 10 -1523.30264607 -3444.09495346 355.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 150 10 -402.82868758 -3744.32504578 355.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 151 10 402.82868758 -3744.32504578 355.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 152 10 1523.30264607 -3444.09495346 355.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 153 10 2221.02239971 -3041.26626588 355.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 154 10 3041.26626588 -2221.02239971 355.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 155 10 3444.09495346 -1523.30264607 355.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 156 10 3744.32504578 -402.82868758 355.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 157 10 3744.32504578 402.82868758 1065.00000000 0.96592583 0.25881905 0.00000000 0 1
1 158 10 3444.09495346 1523.30264607 1065.00000000 0.96592583 0.25881905 0.00000000 0 1
1 159 10 3041.26626588 2221.02239971 1065.00000000 0.70710678 0.70710678 0.00000000 0 1
1 160 10 2221.02239971 3041.26626588 1065.00000000 0.70710678 0.70710678 0.00000000 0 1
1 161 10 1523.30264607 3444.09495346 1065.00000000 0.25881905 0.96592583 0.00000000 0 1
1 162 10 402.82868758 3744.32504578 1065.00000000 0.25881905 0.96592583 0.00000000 0 1
1 163 10 -402.82868758 3744.32504578 1065.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 164 10 -1523.30264607 3444.09495346 1065.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 165 10 -2221.02239971 3041.26626588 1065.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 166 10 -3041.26626588 2221.02239971 1065.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 167 10 -3444.09495346 1523.30264607 1065.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 168 10 -3744.32504578 402.82868758 1065.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 169 10 -3744.32504578 -402.82868758 1065.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 170 10 -3444.09495346 -1523.30264607 1065.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 171 10 -3041.26626588 -2221.02239971 1065.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 172 10 -2221.02239971 -3041.26626588 1065.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 173 10 -1523.30264607 -3444.09495346 1065.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 174 10 -402.82868758 -3744.32504578 1065.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 175 10 402.82868758 -3744.32504578 1065.00000000 0.25881905 -0.96592583 0.00000000 0 1
