PMT position table for custom PMT placement.
Meaning of each column is:
==================================================================================================
Type is used to specify which PMT to be placed:     1 = PMT1 (nominal),
                                                    2 = PMT2 in hybrid configuration,
                                                    3 = Ex-situ mPMT in WCTE,
                                                    4 = In-situ mPMT in WCTE 
==================================================================================================
mPMTId: custom ID to override the default numbering scheme
==================================================================================================
Section is: 0 = barrel, 
            1 = top cap, 
            2 = top border ring, 
            3 = bottom cap, 
            4 = bottom border ring
==================================================================================================
X, Y, Z: PMT positions in mm. Exact values to be tuned to detector geometry at runtime
==================================================================================================
DirX, DirY, DirZ: PMT direction, just for reference
==================================================================================================
Rotation: azimuthal rotation of the PMT module
==================================================================================================
Use: enable placement (1) or not (0)
==================================================================================================


==================================================================================================
Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX       DirY       DirZ   Rotation(deg)  Use
==================================================================================================

#DATASTART
4 23 2 1128.731927391 1128.731927391 1004.762500000 -0.707106781 -0.707106781 0.000000000 -90 1
4 24 2 1474.759333603 610.865317215 1004.762500000 -0.923879533 -0.382683432 0.000000000 -90 1
4 25 2 1596.268000000 0.000000000 1004.762500000 -1.000000000 0.000000000 0.000000000 -90 1
4 26 2 1474.759333603 -610.865317215 1004.762500000 -0.923879533 0.382683432 0.000000000 -90 1
3 27 2 1128.731927391 -1128.731927391 1004.762500000 -0.707106781 0.707106781 0.000000000 -90 1
3 28 2 610.865317215 -1474.759333603 1004.762500000 -0.382683432 0.923879533 0.000000000 -90 1
3 29 2 0.000000000 -1596.268000000 1004.762500000 0.000000000 1.000000000 0.000000000 -90 1
4 30 2 -610.865317215 -1474.759333603 1004.762500000 0.382683432 0.923879533 0.000000000 -90 1
4 31 2 -1128.731927391 -1128.731927391 1004.762500000 0.707106781 0.707106781 0.000000000 -90 1
3 32 2 -1474.759333603 -610.865317215 1004.762500000 0.923879533 0.382683432 0.000000000 -90 1
4 33 2 -1596.268000000 0.000000000 1004.762500000 1.000000000 0.000000000 0.000000000 -90 1
3 34 2 -1474.759333603 610.865317215 1004.762500000 0.923879533 -0.382683432 0.000000000 -90 1
4 35 2 -1128.731927391 1128.731927391 1004.762500000 0.707106781 -0.707106781 0.000000000 -90 1
3 36 2 -610.865317215 1474.759333603 1004.762500000 0.382683432 -0.923879533 0.000000000 -90 1
4 37 0 0.000000000 1596.268000000 424.762500000 0.000000000 -1.000000000 0.000000000 -90 1
4 38 0 610.865317215 1474.759333603 424.762500000 -0.382683432 -0.923879533 0.000000000 -90 1
3 39 0 1128.731927391 1128.731927391 424.762500000 -0.707106781 -0.707106781 0.000000000 -90 1
4 40 0 1474.759333603 610.865317215 424.762500000 -0.923879533 -0.382683432 0.000000000 -90 1
3 41 0 1596.268000000 0.000000000 424.762500000 -1.000000000 0.000000000 0.000000000 -90 1
4 42 0 1474.759333603 -610.865317215 424.762500000 -0.923879533 0.382683432 0.000000000 -90 1
4 43 0 1128.731927391 -1128.731927391 424.762500000 -0.707106781 0.707106781 0.000000000 -90 1
4 44 0 610.865317215 -1474.759333603 424.762500000 -0.382683432 0.923879533 0.000000000 -90 1
3 45 0 0.000000000 -1596.268000000 424.762500000 0.000000000 1.000000000 0.000000000 -90 1
4 46 0 -610.865317215 -1474.759333603 424.762500000 0.382683432 0.923879533 0.000000000 -90 1
3 47 0 -1128.731927391 -1128.731927391 424.762500000 0.707106781 0.707106781 0.000000000 -90 1
4 48 0 -1474.759333603 -610.865317215 424.762500000 0.923879533 0.382683432 0.000000000 -90 1
4 49 0 -1596.268000000 0.000000000 424.762500000 1.000000000 0.000000000 0.000000000 -90 1
3 50 0 -1474.759333603 610.865317215 424.762500000 0.923879533 -0.382683432 0.000000000 -90 1
4 51 0 -1128.731927391 1128.731927391 424.762500000 0.707106781 -0.707106781 0.000000000 -90 1
3 52 0 -610.865317215 1474.759333603 424.762500000 0.382683432 -0.923879533 0.000000000 -90 1
3 53 0 0.000000000 1596.268000000 -155.237500000 0.000000000 -1.000000000 0.000000000 -90 1
4 54 0 610.865317215 1474.759333603 -155.237500000 -0.382683432 -0.923879533 0.000000000 -90 1
4 55 0 1128.731927391 1128.731927391 -155.237500000 -0.707106781 -0.707106781 0.000000000 -90 1
3 56 0 1474.759333603 610.865317215 -155.237500000 -0.923879533 -0.382683432 0.000000000 -90 1
4 57 0 1596.268000000 0.000000000 -155.237500000 -1.000000000 0.000000000 0.000000000 -90 1
3 58 0 1474.759333603 -610.865317215 -155.237500000 -0.923879533 0.382683432 0.000000000 -90 1
3 59 0 1128.731927391 -1128.731927391 -155.237500000 -0.707106781 0.707106781 0.000000000 -90 1
3 60 0 610.865317215 -1474.759333603 -155.237500000 -0.382683432 0.923879533 0.000000000 -90 1
3 61 0 0.000000000 -1596.268000000 -155.237500000 0.000000000 1.000000000 0.000000000 -90 1
3 62 0 -610.865317215 -1474.759333603 -155.237500000 0.382683432 0.923879533 0.000000000 -90 1
4 63 0 -1128.731927391 -1128.731927391 -155.237500000 0.707106781 0.707106781 0.000000000 -90 1
3 64 0 -1474.759333603 -610.865317215 -155.237500000 0.923879533 0.382683432 0.000000000 -90 1
4 65 0 -1596.268000000 0.000000000 -155.237500000 1.000000000 0.000000000 0.000000000 -90 1
4 66 0 -1474.759333603 610.865317215 -155.237500000 0.923879533 -0.382683432 0.000000000 -90 1
3 67 0 -1128.731927391 1128.731927391 -155.237500000 0.707106781 -0.707106781 0.000000000 -90 1
3 68 0 -610.865317215 1474.759333603 -155.237500000 0.382683432 -0.923879533 0.000000000 -90 1
3 69 4 0.000000000 1596.268000000 -735.237500000 0.000000000 -1.000000000 0.000000000 -90 1
3 70 4 610.865317215 1474.759333603 -735.237500000 -0.382683432 -0.923879533 0.000000000 -90 1
3 71 4 1128.731927391 1128.731927391 -735.237500000 -0.707106781 -0.707106781 0.000000000 -90 1
4 72 4 1474.759333603 610.865317215 -735.237500000 -0.923879533 -0.382683432 0.000000000 -90 1
3 73 4 1596.268000000 0.000000000 -735.237500000 -1.000000000 0.000000000 0.000000000 -90 1
4 74 4 1474.759333603 -610.865317215 -735.237500000 -0.923879533 0.382683432 0.000000000 -90 1
4 75 4 1128.731927391 -1128.731927391 -735.237500000 -0.707106781 0.707106781 0.000000000 -90 1
4 76 4 610.865317215 -1474.759333603 -735.237500000 -0.382683432 0.923879533 0.000000000 -90 1
3 77 4 0.000000000 -1596.268000000 -735.237500000 0.000000000 1.000000000 0.000000000 -90 1
4 78 4 -610.865317215 -1474.759333603 -735.237500000 0.382683432 0.923879533 0.000000000 -90 1
3 79 4 -1128.731927391 -1128.731927391 -735.237500000 0.707106781 0.707106781 0.000000000 -90 1
4 80 4 -1474.759333603 -610.865317215 -735.237500000 0.923879533 0.382683432 0.000000000 -90 1
3 81 4 -1596.268000000 0.000000000 -735.237500000 1.000000000 0.000000000 0.000000000 -90 1
3 82 4 -1474.759333603 610.865317215 -735.237500000 0.923879533 -0.382683432 0.000000000 -90 1
4 83 4 -1128.731927391 1128.731927391 -735.237500000 0.707106781 -0.707106781 0.000000000 -90 1
3 84 4 -610.865317215 1474.759333603 -735.237500000 0.382683432 -0.923879533 0.000000000 -90 1
3 85 3 0.000000000 0.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 0 1
4 86 3 0.000000000 580.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 0 1
3 87 3 580.000000000 580.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 0 1
4 88 3 580.000000000 0.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 -180 1
3 89 3 580.000000000 -580.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 -180 1
4 90 3 0.000000000 -580.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 -180 1
3 91 3 -580.000000000 -580.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 -180 1
4 92 3 -580.000000000 0.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 -180 1
3 93 3 -580.000000000 580.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 0 1
4 94 3 0.000000000 1160.000000000 -1530.237500000 0.000000000 0.000000000 1.000000000 0 1
