PMT position table for custom PMT placement. The direction is just for reference but not used.
Type is used to specified which PMT to be placed in hybrid configuration
mPMTId will override the default numbering scheme
Section is: 0 = barrel, 1 = top cap, 2 = top border ring, 3 = bottom cap, 4 = bottom border ring

Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX         DirY        DirZ   Rotation(deg)  Use

#DATASTART
1 77 0 -2716.75 2233.93 -822.889 0.83147 -0.55557 0 0 1
1 78 0 -3103.54 1655.06 -822.889 0.83147 -0.55557 0 0 1
1 79 0 -3364.84 1024.22 -822.889 0.980785 -0.19509 0 0 1
1 80 0 -3500.66 341.408 -822.889 0.980785 -0.19509 0 0 1
1 81 0 -3500.66 -341.408 -822.889 0.980785 0.19509 0 0 1
1 82 0 -3364.84 -1024.22 -822.889 0.980785 0.19509 0 0 1
1 83 0 -3103.54 -1655.06 -822.889 0.83147 0.55557 0 0 1
1 84 0 -2716.75 -2233.93 -822.889 0.83147 0.55557 0 0 1
1 85 0 -2233.93 -2716.75 -822.889 0.55557 0.83147 0 0 1
1 86 0 -1655.06 -3103.54 -822.889 0.55557 0.83147 0 0 1
1 87 0 -1024.22 -3364.84 -822.889 0.19509 0.980785 0 0 1
1 88 0 -341.408 -3500.66 -822.889 0.19509 0.980785 0 0 1
1 89 0 341.408 -3500.66 -822.889 -0.19509 0.980785 0 0 1
1 90 0 1024.22 -3364.84 -822.889 -0.19509 0.980785 0 0 1
1 91 0 1655.06 -3103.54 -822.889 -0.55557 0.83147 0 0 1
1 92 0 2233.93 -2716.75 -822.889 -0.55557 0.83147 0 0 1
1 93 0 2716.75 -2233.93 -822.889 -0.83147 0.55557 0 0 1
1 94 0 3103.54 -1655.06 -822.889 -0.83147 0.55557 0 0 1
1 95 0 3364.84 -1024.22 -822.889 -0.980785 0.19509 0 0 1
1 96 0 3500.66 -341.408 -822.889 -0.980785 0.19509 0 0 1
1 97 0 3500.66 341.408 0 -0.980785 -0.19509 0 0 1
1 98 0 3364.84 1024.22 0 -0.980785 -0.19509 0 0 1
